Disease,Sex,Samples,Accuracy,Precision,Recall,F1 Score,Macro F1,Balanced Accuracy,Normal Precision,Normal Recall,Normal F1,Moderate Precision,Moderate Recall,Moderate F1,Severe Precision,Severe Recall,Severe F1
underweight,Female,103692,0.9937507232959149,0.9937472536707429,0.9937507232959149,0.9937483661972105,0.9898207227408986,0.9890222141810353,0.9966320026836633,0.9973144990197922,0.9969731340478795,0.9847664670658682,0.9843892161087966,0.9845778054504526,0.9904727448142788,0.9853629274145171,0.987911228724364
underweight,Male,109636,0.9931956656572659,0.9931881193163803,0.9931956656572659,0.9931866805257752,0.9891890998511358,0.9869618873252239,0.9955565919189564,0.9979223477470458,0.9967380660557836,0.9851660198361363,0.9827927385356621,0.9839779481436817,0.9936236896141792,0.9801705756929637,0.986851285353942
stunting,Female,103692,0.9918122902441847,0.991816027472158,0.9918122902441847,0.9918136543976922,0.9886518947256363,0.9884210048940183,0.9957509372932442,0.99592665029484,0.9958387860430237,0.9792189349112426,0.9808440018966335,0.9800307947412057,0.9916849917537108,0.9884923624905816,0.9900861033926796
stunting,Male,109636,0.9906508810974497,0.9906342074476131,0.9906508810974497,0.9906365983552705,0.9871015569336441,0.9855747116477552,0.9937455967563371,0.9974024474717156,0.9955706641122962,0.9802470217238963,0.9752494662076779,0.9777418579760162,0.9919434301280937,0.9840722212638722,0.9879921487126198
wasting,Female,103692,0.995534853219149,0.9955179143941405,0.995534853219149,0.9955222132653693,0.988589346899369,0.9862416708431567,0.9972893738802671,0.9990909408761931,0.9981893444961313,0.9841875174402381,0.9735921972764078,0.9788611869189139,0.9914077044250322,0.9860418743768694,0.988717509283062
wasting,Male,109636,0.9950837316210004,0.9950686755396508,0.9950837316210004,0.9950683936082818,0.9884266483757068,0.9849663688749747,0.9966368090043833,0.9992806159725734,0.9979569614853564,0.983074407195421,0.9737588078075646,0.9783944338202384,0.9960999390615478,0.9818596828447862,0.9889285498215258
