Disease,Accuracy Gap,Precision Gap,Recall Gap,F1 Gap,Macro F1 Gap,Balanced Accuracy Gap
underweight,0.000555057638648937,0.0005591343543626115,0.000555057638648937,0.0005616856714353302,0.0006316228897628173,0.0020603268558113674
stunting,0.0011614091467350152,0.0011818200245449217,0.0011614091467350152,0.001177056042421687,0.0015503377919922068,0.0028462932462630652
wasting,0.0004511215981486405,0.00044923885448966416,0.0004511215981486405,0.00045381965708746197,0.00016269852366213033,0.001275301968182041
