Disease,Multiclass Brier Score,Mean Class-wise Brier Score,Normal Brier,Moderate Brier,Severe Brier,Normal ECE,Moderate ECE,Severe ECE,Mean ECE
underweight,0.05569087190104214,0.01856362396701405,0.018077505591396793,0.02785195861940206,0.009761407690243296,0.029699895282962088,0.04008362207482409,0.019725762549117207,0.02983642663563446
stunting,0.0755107650614349,0.025170255020478306,0.022571438147241857,0.03764585852169276,0.015293468392500294,0.03786153606194738,0.04995356414609156,0.029548324276272173,0.03912114149477037
wasting,0.04462532122669886,0.014875107075566286,0.013847466495407482,0.022339190383345833,0.00843866434794554,0.03231561235331811,0.03914326200409381,0.02009281785652901,0.030517230737980308
