Disease,Variant,Removed Feature,Baseline Accuracy,Ablated Accuracy,Accuracy Change,Baseline Macro F1,Ablated Macro F1,Macro F1 Change,Baseline Balanced Accuracy,Ablated Balanced Accuracy,Balanced Accuracy Change,Baseline ROC AUC,Ablated ROC AUC,ROC AUC Change
underweight,All features,None,0.9684291942061595,0.9684291942061595,0.0,0.9485164960522942,0.9485164960522942,0.0,0.9413571547539948,0.9413571547539948,0.0,0.9965273962807015,0.9965273962807015,0.0
underweight,Without age_months,age_months,0.9684291942061595,0.7072844888201378,-0.26114470538602164,0.9485164960522942,0.5176499532407169,-0.4308665428115772,0.9413571547539948,0.5101793266174685,-0.4311778281365264,0.9965273962807015,0.8078349614168493,-0.18869243486385223
underweight,Without sex,sex,0.9684291942061595,0.8995687432616135,-0.06886045094454596,0.9485164960522942,0.8425447335445199,-0.10597176250777429,0.9413571547539948,0.8333414855124449,-0.10801566924154993,0.9965273962807015,0.9790509507517711,-0.017476445528930462
underweight,Without weight_kg,weight_kg,0.9684291942061595,0.6747761683776309,-0.2936530258285286,0.9485164960522942,0.46197472271446033,-0.4865417733378338,0.9413571547539948,0.45454846547100064,-0.4868086892829942,0.9965273962807015,0.7166587535727871,-0.27986864270791445
underweight,Without height_cm,height_cm,0.9684291942061595,0.9704917264332256,0.002062532227066094,0.9485164960522942,0.9528092204709755,0.004292724418681337,0.9413571547539948,0.9495567108335209,0.00819955607952605,0.9965273962807015,0.9965338678324261,6.47155172461833e-06
underweight,Without wealth_index,wealth_index,0.9684291942061595,0.9723433178643416,0.0039141236581821115,0.9485164960522942,0.9562821968891314,0.007765700836837253,0.9413571547539948,0.9537257203883218,0.012368565634326978,0.9965273962807015,0.9971256728563688,0.0005982765756672448
underweight,Without mother_education,mother_education,0.9684291942061595,0.9718745605400084,0.0034453663338489537,0.9485164960522942,0.9550918337974976,0.006575337745203469,0.9413571547539948,0.9516723457584044,0.010315191004409585,0.9965273962807015,0.9971285545710148,0.000601158290313264
underweight,Without currently_breastfeeding,currently_breastfeeding,0.9684291942061595,0.9713120517508086,0.00288285754464912,0.9485164960522942,0.9536825029444111,0.005166006892116992,0.9413571547539948,0.9488745869884081,0.007517432234413257,0.9965273962807015,0.9971796043095006,0.0006522080287990617
stunting,All features,None,0.958960296254629,0.958960296254629,0.0,0.9429295874891769,0.9429295874891769,0.0,0.9410564424607174,0.9410564424607174,0.0,0.9952425677758453,0.9952425677758453,0.0
stunting,Without age_months,age_months,0.958960296254629,0.6479632494257723,-0.31099704682885665,0.9429295874891769,0.4234257813506854,-0.5195038061384915,0.9410564424607174,0.4223964279750261,-0.5186600144856913,0.9952425677758453,0.7265486125277553,-0.26869395524809003
stunting,Without sex,sex,0.958960296254629,0.9058266535414616,-0.05313364271316734,0.9429295874891769,0.8678602122253722,-0.07506937526380464,0.9410564424607174,0.8636544777597042,-0.07740196470101324,0.9952425677758453,0.9831215540722077,-0.012121013703637606
stunting,Without weight_kg,weight_kg,0.958960296254629,0.9590774855857123,0.00011718933108328944,0.9429295874891769,0.9430827744978382,0.00015318700866129298,0.9410564424607174,0.9411313920345741,7.494957385667522e-05,0.9952425677758453,0.9954859645439664,0.0002433967681211291
stunting,Without height_cm,height_cm,0.958960296254629,0.6778230909857966,-0.28113720526883235,0.9429295874891769,0.5018460950150448,-0.44108349247413203,0.9410564424607174,0.48991832297713006,-0.45113811948358734,0.9952425677758453,0.7511918448238418,-0.24405072295200347
stunting,Without wealth_index,wealth_index,0.958960296254629,0.9591712370505789,0.0002109407959499654,0.9429295874891769,0.9431748369228409,0.00024524943366399654,0.9410564424607174,0.9412114934173007,0.00015505095658330248,0.9952425677758453,0.9952545499807294,1.1982204884075642e-05
stunting,Without mother_education,mother_education,0.958960296254629,0.9590306098532789,7.031359864995146e-05,0.9429295874891769,0.9429924039914072,6.281650223027846e-05,0.9410564424607174,0.9411414651512588,8.502269054144751e-05,0.9952425677758453,0.995303111476496,6.0543700650672605e-05
stunting,Without currently_breastfeeding,currently_breastfeeding,0.958960296254629,0.958960296254629,0.0,0.9429295874891769,0.9429295874891769,0.0,0.9410564424607174,0.9410564424607174,0.0,0.9952425677758453,0.9952393224553724,-3.2453204729110396e-06
wasting,All features,None,0.9767496367130737,0.9767496367130737,0.0,0.9419441075494969,0.9419441075494969,0.0,0.928402937067499,0.928402937067499,0.0,0.9977177008065888,0.9977177008065888,0.0
wasting,Without age_months,age_months,0.9767496367130737,0.9794215534617728,0.0026719167486991546,0.9419441075494969,0.9497765603858506,0.007832452836353698,0.928402937067499,0.9427949776272545,0.014392040559755515,0.9977177008065888,0.9979340659864633,0.0002163651798744448
wasting,Without sex,sex,0.9767496367130737,0.9444288192003,-0.032320817512773714,0.9419441075494969,0.8631736282639784,-0.0787704792855185,0.928402937067499,0.8531354109352725,-0.07526752613222654,0.9977177008065888,0.9893375807518275,-0.008380120054761298
wasting,Without weight_kg,weight_kg,0.9767496367130737,0.7559414990859232,-0.22080813762715046,0.9419441075494969,0.3713327537367285,-0.5706113538127684,0.928402937067499,0.3684243590849294,-0.5599785779825697,0.9977177008065888,0.5993763482514102,-0.39834135255517866
