Disease,Metric,Maximum,Minimum,Wealth Group Gap,Best Performing Group,Lowest Performing Group
underweight,Accuracy,0.9949292726288939,0.9927872478542062,0.002142024774687612,High Wealth,Middle Wealth
underweight,Macro F1,0.990207750002147,0.9878286908443951,0.0023790591577519393,Low Wealth,Middle Wealth
underweight,Balanced Accuracy,0.9889469677396097,0.9856648710766684,0.003282096662941214,Low Wealth,High Wealth
stunting,Accuracy,0.9921620159233208,0.9904156936011209,0.0017463223221998447,High Wealth,Low Wealth
stunting,Macro F1,0.9881479389568195,0.9864270758729689,0.0017208630838506656,Low Wealth,High Wealth
stunting,Balanced Accuracy,0.9875921208598056,0.9845843516784193,0.003007769181386344,Low Wealth,High Wealth
wasting,Accuracy,0.9958104661049703,0.9948808967772069,0.0009295693277633355,High Wealth,Low Wealth
wasting,Macro F1,0.9895567629978371,0.9880982752084845,0.0014584877893526471,Middle Wealth,High Wealth
wasting,Balanced Accuracy,0.986089201508879,0.9843200600906412,0.0017691414182378074,Middle Wealth,High Wealth
