Disease,Wealth Group,Samples,Accuracy,Weighted Precision,Weighted Recall,Macro F1,Balanced Accuracy
underweight,Low Wealth,107050,0.992844465203176,0.9928408796634401,0.992844465203176,0.990207750002147,0.9889469677396097
underweight,Middle Wealth,41593,0.9927872478542062,0.9927761193770427,0.9927872478542062,0.9878286908443951,0.9863811503190866
underweight,High Wealth,64685,0.9949292726288939,0.9949204806635321,0.9949292726288939,0.988263014444617,0.9856648710766684
stunting,Low Wealth,107050,0.9904156936011209,0.9904117142640687,0.9904156936011209,0.9881479389568195,0.9875921208598056
stunting,Middle Wealth,41593,0.9918015050609478,0.9917941382567232,0.9918015050609478,0.9880861136604996,0.9869065679659981
stunting,High Wealth,64685,0.9921620159233208,0.9921445767101672,0.9921620159233208,0.9864270758729689,0.9845843516784193
wasting,Low Wealth,107050,0.9948808967772069,0.9948676692358264,0.9948808967772069,0.9883225251135305,0.9859083048060878
wasting,Middle Wealth,41593,0.9956002211910658,0.9955833688294271,0.9956002211910658,0.9895567629978371,0.986089201508879
wasting,High Wealth,64685,0.9958104661049703,0.9957913532903292,0.9958104661049703,0.9880982752084845,0.9843200600906412
