Disease,Age Group,Samples,Accuracy,Weighted Precision,Weighted Recall,Macro F1,Balanced Accuracy
underweight,<12 months,39850,0.9848682559598494,0.9847636886751059,0.9848682559598494,0.9716361976474651,0.9677873666235257
underweight,12-59 months,173478,0.9954403440205675,0.9954419162483391,0.9954403440205675,0.9927130238666088,0.9914765475430741
stunting,<12 months,39850,0.9842158092848181,0.9840644384561749,0.9842158092848181,0.9682010225136032,0.9634323728582337
stunting,12-59 months,173478,0.9928232974786428,0.9928254632820478,0.9928232974786428,0.9905765326095982,0.9900609637868844
wasting,<12 months,39850,0.9916436637390214,0.9916056233760623,0.9916436637390214,0.9829096033466019,0.9790107755881845
wasting,12-59 months,173478,0.9961436032234635,0.9961311828079754,0.9961436032234635,0.9901870175261717,0.9875760960046494
