Disease,Metric,Maximum,Minimum,Age Group Gap
underweight,Accuracy,0.9954403440205675,0.9848682559598494,0.010572088060718077
underweight,Macro F1,0.9927130238666088,0.9716361976474651,0.02107682621914364
underweight,Balanced Accuracy,0.9914765475430741,0.9677873666235257,0.023689180919548414
stunting,Accuracy,0.9928232974786428,0.9842158092848181,0.00860748819382473
stunting,Macro F1,0.9905765326095982,0.9682010225136032,0.022375510095995033
stunting,Balanced Accuracy,0.9900609637868844,0.9634323728582337,0.026628590928650664
wasting,Accuracy,0.9961436032234635,0.9916436637390214,0.004499939484442161
wasting,Macro F1,0.9901870175261717,0.9829096033466019,0.00727741417956973
wasting,Balanced Accuracy,0.9875760960046494,0.9790107755881845,0.00856532041646485
