Model,Accuracy,Precision,Recall,F1 Score,Macro F1,Balanced Accuracy,ROC AUC
Logistic Regression,0.9609056391506118,0.960691062903155,0.9609056391506118,0.9607730997134417,0.9057882968522964,0.9003030749384578,0.9920335526692382
Decision Tree,0.9759058735292739,0.9757906377519855,0.9759058735292739,0.9758424039028328,0.9381646301163068,0.9370908933462682,0.995622774089577
Random Forest,0.9767496367130737,0.9763103887206367,0.9767496367130737,0.9763960693958078,0.9419441075494969,0.928402937067499,0.9977177008065888
