Model,Accuracy,Precision,Recall,F1 Score,Macro F1,Balanced Accuracy,ROC AUC
Logistic Regression,0.8422631603618806,0.8365436361182148,0.8422631603618806,0.8386611703293051,0.7287016935960082,0.7107328516697368,0.9510620781186967
Decision Tree,0.9665072891763934,0.9662900673838665,0.9665072891763934,0.9663093190012519,0.9441561259258417,0.9352883878154148,0.9967539780306796
Random Forest,0.9684291942061595,0.9682637392755128,0.9684291942061595,0.9682896129762397,0.9485164960522942,0.9413571547539948,0.9965273917199386
