Model,Accuracy,Precision,Recall,F1 Score,Macro F1,Balanced Accuracy,ROC AUC
Logistic Regression,0.752238316223691,0.7285235288124792,0.752238316223691,0.735171544518905,0.6344055067410097,0.620664076175044,0.8946823624476687
Decision Tree,0.958960296254629,0.9589428554323658,0.958960296254629,0.958937840322259,0.9429295874891769,0.9410564424607174,0.9952425677758453
Random Forest,0.9577415272113626,0.9575388291394261,0.9577415272113626,0.9575949472220605,0.9409551462712494,0.9367759601312405,0.9945516004326908
