Fold,Accuracy,Precision,Recall,Weighted F1,Macro F1,Balanced Accuracy
1,0.9685229456710261,0.9683941166590145,0.9685229456710261,0.9684050496898303,0.9496870782215723,0.942770049164413
2,0.9685463835372428,0.968446095128199,0.9685463835372428,0.9684340541648333,0.9489008839102374,0.9416575358535803
3,0.9698120283129424,0.9697358844959943,0.9698120283129424,0.9696819339057066,0.9496768216005677,0.9410846635821799
4,0.96915504511895,0.9690796705142408,0.96915504511895,0.9690350253708367,0.9479154857302333,0.9399753979782685
5,0.9690847298722607,0.9689433468109334,0.9690847298722607,0.9689531645208149,0.9486042611972417,0.94132611892314
