Disease,Model,Accuracy,Precision,Recall,F1 Score,Macro F1,Balanced Accuracy,ROC AUC
wasting,Random Forest,0.9767496367130737,0.9763103887206367,0.9767496367130737,0.9763960693958078,0.9419441075494969,0.928402937067499,0.9977177008065888
wasting,Decision Tree,0.9759058735292739,0.9757906377519855,0.9759058735292739,0.9758424039028328,0.9381646301163068,0.9370908933462682,0.995622774089577
wasting,XGBoost,0.973421459710308,0.9728230318505495,0.973421459710308,0.9729047448440158,0.932950419955984,0.9158833625330237,0.9973101085888557
wasting,Logistic Regression,0.9609056391506118,0.960691062903155,0.9609056391506118,0.9607730997134417,0.9057882968522964,0.9003030749384578,0.9920335526692382
wasting,Gradient Boosting,0.9396240566258848,0.9359299725132451,0.9396240566258848,0.9346348743232106,0.8420374140325073,0.7909895940176422,0.9922960453085189
wasting,SVM,0.942155346177284,0.9426287602296463,0.942155346177284,0.9347951707437473,0.8413852466648151,0.8229024901300069,
wasting,KNN,0.9068579196549946,0.8984702497684133,0.9068579196549946,0.8989708286637499,0.7490105009610423,0.6978555945445518,0.9469261001132242
wasting,Gaussian Naive Bayes,0.8136220878451226,0.6765315283765493,0.8136220878451226,0.7362815208961762,0.3038894630476469,0.33342245106462415,0.6590997110052216
