Disease,Model,Accuracy,Precision,Recall,F1 Score,Macro F1,Balanced Accuracy,ROC AUC
underweight,XGBoost,0.9707495429616088,0.970587784486168,0.9707495429616088,0.9705421365122097,0.9526425134529455,0.9419819263196008,0.9975620896087424
underweight,Random Forest,0.9684291942061595,0.9682637392755128,0.9684291942061595,0.9682896129762397,0.9485164960522942,0.9413571547539948,0.9965273917199386
underweight,Decision Tree,0.9665072891763934,0.9662900673838665,0.9665072891763934,0.9663093190012519,0.9441561259258417,0.9352883878154148,0.9967539780306796
underweight,Gradient Boosting,0.9493273332395818,0.9490237271215652,0.9493273332395818,0.9480195553730217,0.9107574551657082,0.881633456195782,0.9938616785248069
underweight,KNN,0.8973421459710308,0.8960265160426808,0.8973421459710308,0.8950860136903761,0.825192323434492,0.7958346655682743,0.962475836723575
underweight,Logistic Regression,0.8422631603618806,0.8365436361182148,0.8422631603618806,0.8386611703293051,0.7287016935960082,0.7107328516697368,0.9510620781186967
underweight,SVM,0.8206768855763371,0.8033296005481421,0.8206768855763371,0.8055603726169077,0.6735057277822863,0.6406124258163587,
underweight,Gaussian Naive Bayes,0.6970187034172409,0.6253348871292198,0.6970187034172409,0.629790871911376,0.3757316778901212,0.3868752400183519,0.7245839087782072
