Fold,Accuracy,Precision,Recall,Weighted F1,Macro F1,Balanced Accuracy
1,0.9777105892279567,0.9772897103363616,0.9777105892279567,0.9773630192194441,0.9451487049159999,0.9317943303805514
2,0.976866826044157,0.9764391038552505,0.976866826044157,0.976548679528772,0.942246546515031,0.9305225116638671
3,0.97789809215769,0.977563299412969,0.97789809215769,0.977620631717608,0.9444378295028582,0.9317252914206461
4,0.9777335052150474,0.9773250883426748,0.9777335052150474,0.977384794777597,0.9451590983561445,0.9311357316354448
5,0.9775225594749795,0.977101682214017,0.9775225594749795,0.977196193924852,0.9438374120778819,0.9314348230257808
