Disease,Selected Model,Test Accuracy,Test Macro F1,Test Balanced Accuracy,Test ROC AUC,5-Fold Accuracy,5-Fold Macro F1,5-Fold Balanced Accuracy
underweight,Random Forest,0.9684291942061595,0.9485164960522942,0.9413571547539948,0.9965273911619126,0.9690242265024844,0.9489569061319706,0.9413627531003164
stunting,Decision Tree,0.958960296254629,0.9429295874891769,0.9410564424607174,0.9952425677758453,0.9587677226374394,0.9419821456770597,0.9394380568094354
wasting,Random Forest,0.9767496367130737,0.9419441075494969,0.928402937067499,0.9977177008065888,0.977546314423966,0.944165918273583,0.9313225376252581
