Disease,Model,Accuracy,Precision,Recall,F1 Score,Macro F1,Balanced Accuracy,ROC AUC
stunting,Decision Tree,0.958960296254629,0.9589428554323658,0.958960296254629,0.958937840322259,0.9429295874891769,0.9410564424607174,0.9952425677758453
stunting,Random Forest,0.9577415272113626,0.9575388291394261,0.9577415272113626,0.9575949472220605,0.9409551462712494,0.9367759601312405,0.9945516005920801
stunting,XGBoost,0.9540149064829138,0.9534125601117465,0.9540149064829138,0.9534926124058871,0.9371122264629074,0.929626738417581,0.9943366469944254
stunting,KNN,0.9520930014531477,0.9520801375642942,0.9520930014531477,0.952047169941445,0.9338008014284642,0.930566949231672,0.9899006537238377
stunting,Gradient Boosting,0.9295926498851544,0.9289924808527875,0.9295926498851544,0.9272916279767922,0.9020559055538827,0.878558664546205,0.9887406956306756
stunting,Logistic Regression,0.752238316223691,0.7285235288124792,0.752238316223691,0.735171544518905,0.6344055067410097,0.620664076175044,0.8946823624476687
stunting,SVM,0.7452303942249098,0.7433772962078614,0.7452303942249098,0.6882326488349216,0.5710801701423406,0.5958081422881464,
stunting,Gaussian Naive Bayes,0.6294707729808279,0.5588562550369951,0.6294707729808279,0.565154600230109,0.38794643246393035,0.4031844412805045,0.6980323496391186
