Fold,Accuracy,Precision,Recall,Weighted F1,Macro F1,Balanced Accuracy
1,0.9594524914451789,0.9596826148121415,0.9594524914451789,0.9595433171035402,0.942494283277151,0.942408972523128
2,0.9570383912248629,0.9568794680295759,0.9570383912248629,0.956938319169725,0.9397333903739852,0.9369228689292791
3,0.9590774855857123,0.9588009008821359,0.9590774855857123,0.9588654846121665,0.942969582503613,0.9376029351169208
4,0.956146724481425,0.9558624669706449,0.956146724481425,0.9559765457294122,0.938750214397988,0.9357978245281284
5,0.9621235204500176,0.9621920640356987,0.9621235204500176,0.9621375991726779,0.9459632578325617,0.9444576829497208
